Complexity,Loss,Equation
1,0.2629462,"0.0011589541"
2,0.13605966,"square(x2)"
3,0.12920967,"0.24398188 - x2"
4,0.044767488,"square(0.23474823 - x2)"
5,0.028166777,"square(square(x2 - 0.19541173))"
6,0.015712887,"square(x2) * (0.7953536 - x2)"
7,0.012222144,"square(square(-0.4301168 + (x2 * 0.7015338)))"
9,0.012143584,"0.012699181 + square(square(-0.7154464 * (0.58044 - x2)))"
10,0.00767418,"square(square(x2 + -0.56199235)) / (3.9602058 - square(x1))"
12,0.0053854585,"square((0.25438294 * square(x1)) + square(0.7120851 * (x2 - 0.5197921)))"
14,0.0043857344,"square((0.2559039 * square(x1 - 0.0840752)) + square((x2 - 0.5197921) * 0.7120851))"
19,0.0043838792,"square((0.2559039 * square(x1 - (square(0.0840752) / (0.55483836 - 0.474607)))) + square(0.7120851 * (x2 - 0.5197921)))"
